PROFILING Worst_Propagation_Delay			ps

Worst_Propagation_Delay	"(-inf, 111.243ps]"	3 elements
		AON_BUF_X1	109.414	"A to Z -> fall (146.24ps, 11.6921fF)"
		ISO_FENCE0N_X1	109.761	"EN to Z -> fall (146.24ps, 18.959fF)"
		HEADER_OE_X1	110.415	"SLEEP to SLEEPOUT -> fall (146.24ps, 12.1689fF)"
	"(111.243ps, 143.703ps]"	18 elements
		ISO_FENCE0N_X4	115.655	"EN to Z -> fall (146.24ps, 79.0405fF)"
		AON_BUF_X2	115.896	"A to Z -> fall (146.24ps, 25.4822fF)"
		HEADER_OE_X2	116.904	"SLEEP to SLEEPOUT -> fall (146.24ps, 25.3677fF)"
		ISO_FENCE0N_X2	117.081	"EN to Z -> fall (146.24ps, 39.5203fF)"
		ISO_FENCE1_X1	117.899	"A to Z -> fall (146.24ps, 19.0353fF)"
		LS_HL_X1	120.187	"A to Z -> fall (146.24ps, 13.9236fF)"
		ISO_FENCE1_X4	125.389	"A to Z -> fall (146.24ps, 79.0405fF)"
		ISO_FENCE1_X2	126.96	"A to Z -> fall (146.24ps, 39.5966fF)"
		HEADER_OE_X4	127.154	"SLEEP to SLEEPOUT -> fall (146.24ps, 51.8036fF)"
		AON_BUF_X4	127.986	"A to Z -> fall (146.24ps, 50.7355fF)"
		LS_HL_X2	129.63	"A to Z -> fall (146.24ps, 28.9917fF)"
		LS_HLEN_X1	129.709	"ISOLN to Z -> fall (146.24ps, 13.8473fF)"
		LS_HLEN_X4	136.474	"ISOLN to Z -> fall (146.24ps, 57.6782fF)"
		ISO_FENCE0_X1	137.654	"A to Z -> rise (146.24ps, 10.2997fF)"
		ISO_FENCE0_X4	137.761	"A to Z -> rise (146.24ps, 42.7246fF)"
		ISO_FENCE0_X2	137.77	"A to Z -> rise (146.24ps, 21.3623fF)"
		LS_HLEN_X2	138.459	"ISOLN to Z -> fall (146.24ps, 28.9154fF)"
		LS_HL_X4	139.947	"A to Z -> fall (146.24ps, 57.6782fF)"
	"(143.703ps, 176.163ps]"	8 elements
		AON_INV_X1	150.72	"A to Z -> rise (146.24ps, 11.7302fF)"
		AON_INV_X2	150.846	"A to Z -> rise (146.24ps, 25.4822fF)"
		AON_INV_X4	150.94	"A to Z -> rise (146.24ps, 50.9644fF)"
		ISO_FENCE1N_X1	152.102	"EN to Z -> rise (146.24ps, 18.5394fF)"
		ISO_FENCE1N_X2	152.17	"EN to Z -> rise (146.24ps, 38.6047fF)"
		ISO_FENCE1N_X4	152.365	"EN to Z -> rise (146.24ps, 77.2095fF)"
		LS_LH_X2	166.836	"A to Z -> fall (146.24ps, 25.444fF)"
		LS_LH_X1	169.547	"A to Z -> fall (146.24ps, 18.6157fF)"
	"(176.163ps, +inf)"	4 elements
		LS_LH_X4	180.938	"A to Z -> fall (146.24ps, 51.8799fF)"
		LS_LHEN_X4	219.6	"A to Z -> fall (146.24ps, 56.4575fF)"
		LS_LHEN_X2	220.468	"A to Z -> fall (146.24ps, 25.4059fF)"
		LS_LHEN_X1	247.555	"A to Z -> fall (146.24ps, 21.5149fF)"

Profiling Statistics	Average	143.703
	Standard Deviation	32.4602
