PROFILING Worst_Propagation_Delay			ps

Worst_Propagation_Delay	"(-inf, 179.963ps]"	5 elements
		AON_BUF_X1	173.733	"A to Z -> rise (198.535ps, 11.6921fF)"
		HEADER_OE_X1	174.519	"SLEEP to SLEEPOUT -> rise (198.535ps, 12.1689fF)"
		ISO_FENCE1_X1	175.444	"EN to Z -> rise (99.2675ps, 19.0353fF)"
		ISO_FENCE0N_X1	179.329	"A to Z -> rise (198.535ps, 18.959fF)"
		AON_BUF_X2	179.763	"A to Z -> rise (198.535ps, 25.4822fF)"
	"(179.963ps, 229.72ps]"	13 elements
		ISO_FENCE1_X4	183.862	"A to Z -> fall (198.535ps, 79.0405fF)"
		HEADER_OE_X2	184.491	"SLEEP to SLEEPOUT -> rise (198.535ps, 25.3677fF)"
		LS_HL_X1	185.617	"A to Z -> fall (198.535ps, 13.9236fF)"
		ISO_FENCE0N_X4	187.086	"A to Z -> rise (198.535ps, 79.0405fF)"
		ISO_FENCE1_X2	187.331	"A to Z -> fall (198.535ps, 39.5966fF)"
		ISO_FENCE0N_X2	188.687	"A to Z -> rise (198.535ps, 39.5203fF)"
		AON_BUF_X4	196.783	"A to Z -> rise (198.535ps, 50.7355fF)"
		HEADER_OE_X4	198.994	"SLEEP to SLEEPOUT -> rise (198.535ps, 51.8036fF)"
		LS_HL_X2	204.471	"A to Z -> fall (198.535ps, 28.9917fF)"
		LS_HLEN_X1	204.927	"ISOLN to Z -> fall (198.535ps, 13.8473fF)"
		LS_HLEN_X4	217.221	"ISOLN to Z -> fall (198.535ps, 57.6782fF)"
		LS_HLEN_X2	221.321	"ISOLN to Z -> fall (198.535ps, 28.9154fF)"
		LS_HL_X4	225.22	"A to Z -> fall (198.535ps, 57.6782fF)"
	"(229.72ps, 279.477ps]"	12 elements
		ISO_FENCE0_X1	241.357	"A to Z -> rise (198.535ps, 10.2997fF)"
		ISO_FENCE0_X4	241.369	"A to Z -> rise (198.535ps, 42.7246fF)"
		ISO_FENCE0_X2	241.45	"A to Z -> rise (198.535ps, 21.3623fF)"
		AON_INV_X1	255.469	"A to Z -> rise (198.535ps, 11.7302fF)"
		AON_INV_X2	255.586	"A to Z -> rise (198.535ps, 25.4822fF)"
		AON_INV_X4	255.723	"A to Z -> rise (198.535ps, 50.9644fF)"
		ISO_FENCE1N_X1	257.402	"EN to Z -> rise (198.535ps, 18.5394fF)"
		ISO_FENCE1N_X2	257.418	"EN to Z -> rise (198.535ps, 38.6047fF)"
		ISO_FENCE1N_X4	257.665	"EN to Z -> rise (198.535ps, 77.2095fF)"
		LS_LH_X2	259.851	"A to Z -> rise (198.535ps, 25.444fF)"
		LS_LH_X1	259.915	"A to Z -> fall (198.535ps, 18.6157fF)"
		LS_LH_X4	278.634	"A to Z -> fall (198.535ps, 51.8799fF)"
	"(279.477ps, +inf)"	3 elements
		LS_LHEN_X2	339.556	"A to Z -> rise (198.535ps, 25.4059fF)"
		LS_LHEN_X4	349.005	"A to Z -> fall (198.535ps, 56.4575fF)"
		LS_LHEN_X1	361.558	"A to Z -> fall (198.535ps, 21.5149fF)"

Profiling Statistics	Average	229.72
	Standard Deviation	49.757
